verdict,strategy,timeframe,regime,session,n_trades,avg_r,win_rate,expectancy_R,pct_of_fires,low_confidence
KEEP,morning_evening_star,15m,trend,asia,1418,-0.29929307902622104,0.19534555712270804,-0.058465573265347834,0.02170452458213433,False
KEEP,morning_evening_star,15m,unknown,london,263,-0.30284872653064293,0.19771863117870722,-0.05987883566385335,0.004025592359027735,False
KEEP,morning_evening_star,1h,unknown,asia,129,-0.37557028713700247,0.17054263565891473,-0.0640507466435198,0.0019745300924508664,False
KEEP,morning_evening_star,15m,unknown,asia,367,-0.36062513318140915,0.18528610354223432,-0.06681882576658262,0.005617461580848589,False
KEEP,morning_evening_star,1h,unknown,off,20,-0.4500591024020232,0.15,-0.06750886536030347,0.0003061286965040103,True
KEEP,orb,1h,range,off,59,0.8714244328535065,0.4576271186440678,0.3987874523227911,0.0035236502627806975,False
KEEP,orb,1h,high_vol,ny,357,0.6480241161905153,0.40336134453781514,0.26138787879953557,0.021321070234113712,False
KEEP,orb,15m,range,off,29,0.4268597020512072,0.5172413793103449,0.22078950106096926,0.0017319636884854275,True
KEEP,orb,4h,unknown,london,65,0.5363618764638723,0.4,0.21454475058554895,0.0038819875776397515,False
KEEP,orb,15m,unknown,london,15,0.40647883067577995,0.4666666666666667,0.18969012098203064,0.000895843287147635,True
KEEP,orb,1h,trend,ny,348,0.44353410460166415,0.3563218390804598,0.15804088784657,0.020783564261825132,False
KEEP,orb,1h,trend,off,18,0.3434442719211124,0.3333333333333333,0.11448142397370412,0.001075011944577162,True
KEEP,orb,15m,trend,ny,47,0.22659574468085103,0.425531914893617,0.09642372114078768,0.0028069756330625895,False
KEEP,orb,4h,range,london,769,0.2758333941499179,0.3328998699609883,0.09182490104340571,0.04592689918776875,False
KEEP,orb,1h,range,asia,1531,0.2744020286943171,0.31352057478772044,0.08603068175915886,0.09143573817486861,False
KEEP,orb,4h,range,ny,211,0.2251878928908272,0.3459715639810427,0.077908607493035,0.012601528905876732,False
KEEP,orb,4h,trend,london,1098,0.14808593302694878,0.31420765027322406,0.046529733054915604,0.06557572861920688,False
KEEP,orb,15m,high_vol,ny,211,0.09537273502583726,0.3696682464454976,0.03525627171571235,0.012601528905876732,False
KEEP,orb,1h,high_vol,asia,893,0.07490640065179902,0.2721164613661814,0.02038326467904497,0.0533325370281892,False
KEEP,orb,1h,unknown,off,3,-1.0563681862035696,0.0,-0.0,0.000179168657429527,True
KEEP,orb,15m,high_vol,off,9,-1.080192868719611,0.0,-0.0,0.000537505972288581,True
KEEP,orb,4h,high_vol,ny,207,-0.013143510585898474,0.28502415458937197,-0.003746217993082174,0.012362637362637362,False
KEEP,orb,15m,trend,asia,300,-0.033432383367634405,0.3433333333333333,-0.011478451622887811,0.0179168657429527,False
KEEP,orb,1h,trend,asia,1140,-0.05136290594594432,0.24736842105263157,-0.012705560944523069,0.06808408982322026,False
KEEP,orb,1h,range,ny,680,-0.057943919283983486,0.24411764705882352,-0.014145133236972439,0.040611562350692784,False
KEEP,orb,1h,unknown,asia,110,-1.0608813391503198,0.01818181818181818,-0.019288751620914903,0.006569517439082656,False
KEEP,orb,4h,trend,ny,410,-0.11593790200023837,0.24146341463414633,-0.02799476170249658,0.024486383182035356,False
KEEP,orb,15m,range,ny,731,-0.1070591758309144,0.3173734610123119,-0.033977741166582955,0.043657429526994744,False
KEEP,orb,1h,high_vol,london,148,-0.8992387353565622,0.04054054054054054,-0.036455624406347115,0.008838987099856666,False
KEEP,orb,4h,high_vol,london,689,-0.1944292927972388,0.23367198838896952,-0.045432679448991944,0.04114906832298137,False
KEEP,orb,15m,unknown,off,6,-0.14273086278282557,0.3333333333333333,-0.047576954260941856,0.000358337314859054,True
KEEP,orb,1h,trend,london,362,-0.24433205088133383,0.19889502762430938,-0.04859643000954706,0.021619684663162924,False
KEEP,orb,15m,range,asia,3790,-0.17788993115760993,0.3071240105540897,-0.05463426909431608,0.22634973721930243,False
KEEP,orb,1h,range,london,566,-0.27704459594236563,0.1978798586572438,-0.054821545486828535,0.03380315336837076,False
KEEP,orb,4h,unknown,ny,29,-0.8355467300011621,0.06896551724137931,-0.05762391241387325,0.0017319636884854275,True
